Temperature [°C], Pressure [Pa], Density [kg/m³], Viscosity [Pa.s], Enthalpy [J/kg]
1.00000000000e+00, 1.01325000000e+05, 8.95547529324e-02, 8.39822022643e-06, 3.58961769559e+06
8.00000000000e+00, 1.01325000000e+05, 8.73257546668e-02, 8.54602855090e-06, 3.68915868604e+06
1.50000000000e+01, 1.01325000000e+05, 8.52050607226e-02, 8.69268940309e-06, 3.78892692318e+06
2.20000000000e+01, 1.01325000000e+05, 8.31849617677e-02, 8.83824541334e-06, 3.88889942923e+06
2.90000000000e+01, 1.01325000000e+05, 8.12584634760e-02, 8.98273656739e-06, 3.98905517703e+06
3.60000000000e+01, 1.01325000000e+05, 7.94192054831e-02, 9.12620042632e-06, 4.08937496613e+06
4.30000000000e+01, 1.01325000000e+05, 7.76613911252e-02, 9.26867232377e-06, 4.18984130387e+06
5.00000000000e+01, 1.01325000000e+05, 7.59797263230e-02, 9.41018554341e-06, 4.29043829124e+06
5.70000000000e+01, 1.01325000000e+05, 7.43693662500e-02, 9.55077147883e-06, 4.39115151371e+06
6.40000000000e+01, 1.01325000000e+05, 7.28258686544e-02, 9.69045977798e-06, 4.49196793693e+06
7.10000000000e+01, 1.01325000000e+05, 7.13451528830e-02, 9.82927847391e-06, 4.59287580723e+06
7.80000000000e+01, 1.01325000000e+05, 6.99234638120e-02, 9.96725410335e-06, 4.69386455695e+06
8.50000000000e+01, 1.01325000000e+05, 6.85573400124e-02, 1.01044118145e-05, 4.79492471459e+06
9.20000000000e+01, 1.01325000000e+05, 6.72435855796e-02, 1.02407754652e-05, 4.89604781971e+06
9.90000000000e+01, 1.01325000000e+05, 6.59792451465e-02, 1.03763677124e-05, 4.99722634247e+06
